序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
154,600186,莲花控股,8.18,6.37%,14.11%,11.46亿,8.49亿,2.97亿,19.94亿
155,600176,中国巨石,33.07,6.33%,3.32%,22.85亿,20.89亿,1.97亿,43.74亿
156,688316,青云科技,78.74,6.29%,8.26%,1.83亿,1.22亿,6049.06万,3.05亿
157,2803,吉宏股份,17.4,6.29%,3.35%,1.07亿,5623.31万,5081.51万,1.63亿
158,688158,优刻得,48.65,6.27%,9.53%,10.40亿,8.11亿,2.29亿,18.51亿
159,300604,长川科技,150.05,6.26%,3.91%,16.73亿,11.64亿,5.09亿,28.37亿
160,688,国城矿业,46.2,6.26%,1.84%,5.72亿,4.36亿,1.37亿,10.08亿
161,301004,嘉益股份,50.68,6.25%,1.32%,5577.73万,3483.49万,2094.24万,9063.24万
162,300491,通合科技,27.06,6.24%,5.71%,1.38亿,9651.56万,4177.17万,2.35亿
163,600126,杭钢股份,10.12,6.19%,5.70%,11.27亿,7.76亿,3.50亿,19.03亿
164,300478,杭州高新,26.74,6.15%,3.78%,8261.04万,4305.65万,3955.39万,1.26亿
165,2943,宇晶股份,56.83,6.14%,14.98%,6.52亿,5.71亿,8112.50万,12.24亿
166,762,西藏矿业,35.79,6.08%,9.74%,9.75亿,8.29亿,1.46亿,18.04亿
167,603308,应流股份,68.95,6.06%,2.82%,7.72亿,5.14亿,2.58亿,12.86亿
168,688025,杰普特,288.0,6.05%,3.92%,6.03亿,4.29亿,1.75亿,10.33亿
169,2738,中矿资源,85.43,6.03%,3.91%,14.77亿,8.79亿,5.99亿,23.56亿
170,603601,再升科技,15.18,6.01%,18.96%,17.73亿,14.54亿,3.19亿,32.27亿
171,603115,海星股份,47.17,6.00%,2.83%,1.78亿,1.36亿,4232.16万,3.14亿
172,301489,思泉新材,210.38,5.98%,7.08%,4.33亿,2.63亿,1.70亿,6.95亿
173,2378,章源钨业,31.94,5.97%,5.19%,11.12亿,8.19亿,2.93亿,19.31亿
174,2556,辉隆股份,6.4,5.96%,2.85%,9102.94万,7661.40万,1441.54万,1.68亿
175,600338,西藏珠峰,20.12,5.95%,8.59%,9.72亿,5.93亿,3.79亿,15.65亿
176,688178,万德斯,33.3,5.92%,3.08%,5251.21万,3327.77万,1923.44万,8579.65万
177,688027,国盾量子,612.03,5.89%,4.54%,12.63亿,9.57亿,3.06亿,22.20亿
178,603698,航天工程,41.86,5.89%,10.11%,10.66亿,11.62亿,-9635.30万,22.29亿
179,636,风华高科,22.28,5.89%,5.94%,9.92亿,5.11亿,4.80亿,15.03亿
180,600251,冠农股份,11.54,5.87%,1.57%,8624.61万,5159.84万,3464.77万,1.38亿
181,2469,三维化学,8.84,5.87%,3.59%,1.21亿,7552.28万,4586.97万,1.97亿
182,300870,欧陆通,357.77,5.85%,3.17%,6.78亿,5.57亿,1.21亿,12.35亿
183,301321,翰博高新,23.39,5.84%,3.88%,7965.98万,5345.53万,2620.45万,1.33亿
184,603220,中贝通信,30.72,5.82%,11.66%,8.52亿,6.51亿,2.01亿,15.03亿
185,600676,交运股份,8.0,5.82%,1.10%,5282.95万,3518.80万,1764.15万,8801.83万
186,600105,永鼎股份,39.72,5.81%,10.80%,35.19亿,25.87亿,9.32亿,61.05亿
187,2209,达意隆,15.87,5.80%,3.56%,5614.66万,3011.24万,2603.42万,8626.70万
188,688006,杭可科技,31.05,5.79%,3.16%,3.45亿,2.42亿,1.03亿,5.86亿
189,2132,恒星科技,4.39,5.78%,13.80%,4.44亿,4.15亿,2907.20万,8.58亿
190,300017,网宿科技,19.31,5.75%,9.65%,24.95亿,17.35亿,7.60亿,42.30亿
191,2353,杰瑞股份,115.75,5.73%,2.32%,10.17亿,8.06亿,2.11亿,18.23亿
192,300656,民德电子,24.05,5.71%,3.99%,6831.48万,5576.63万,1254.86万,1.24亿
193,688282,理工导航,87.1,5.67%,2.39%,1.00亿,8366.47万,1659.48万,1.84亿
194,603138,海量数据,21.5,5.65%,4.12%,1.49亿,1.01亿,4838.35万,2.50亿
195,2703,浙江世宝,20.42,5.64%,9.16%,6.11亿,4.77亿,1.34亿,10.88亿
196,1339,智微智能,71.21,5.62%,7.06%,3.24亿,2.70亿,5358.33万,5.94亿
197,300608,思特奇,13.34,5.62%,6.30%,1.28亿,1.09亿,1933.07万,2.38亿
198,301285,鸿日达,97.6,5.60%,1.98%,2.29亿,1.71亿,5777.58万,4.00亿
199,2663,普邦股份,2.28,5.56%,8.05%,1.08亿,1.29亿,-2115.45万,2.37亿
200,300846,首都在线,31.56,5.52%,9.98%,7.26亿,4.85亿,2.42亿,12.11亿
201,600300,维维股份,3.66,5.48%,3.97%,1.49亿,8179.12万,6730.39万,2.31亿
202,300464,星徽股份,7.72,5.46%,3.60%,6319.11万,3250.20万,3068.91万,9569.39万
203,688486,龙迅股份,67.95,5.45%,2.29%,1.08亿,9861.84万,922.63万,2.06亿
204,300245,天玑科技,14.17,5.43%,8.28%,2.15亿,1.39亿,7619.48万,3.54亿
205,605303,园林股份,23.42,5.40%,3.89%,7809.37万,6284.13万,1525.24万,1.41亿
206,603933,睿能科技,23.9,5.38%,5.72%,1.58亿,1.18亿,3964.42万,2.76亿
207,155,川能动力,16.85,5.38%,4.51%,8.28亿,5.70亿,2.58亿,13.98亿
208,301248,杰创智能,60.85,5.37%,13.49%,4.77亿,4.44亿,3251.26万,9.21亿
209,688146,中船特气,63.35,5.34%,9.64%,4.83亿,3.96亿,8642.58万,8.79亿
210,688677,海泰新光,73.31,5.33%,4.91%,2.30亿,1.96亿,3362.47万,4.26亿
211,688692,达梦数据,247.11,5.33%,2.02%,2.14亿,1.49亿,6451.31万,3.63亿
212,300418,昆仑万维,52.44,5.32%,4.60%,18.89亿,11.10亿,7.79亿,30.00亿
213,2899,英派斯,32.79,5.30%,2.86%,8650.93万,5106.80万,3544.14万,1.38亿
214,300986,志特新材,25.05,5.30%,9.43%,5.72亿,3.94亿,1.78亿,9.66亿
215,605289,罗曼股份,133.32,5.30%,5.87%,4.16亿,4.15亿,147.94万,8.31亿
216,301106,骏成科技,29.9,5.28%,2.32%,3729.03万,3229.15万,499.87万,6958.78万
217,300214,日科化学,7.78,5.28%,3.47%,6347.12万,4342.38万,2004.74万,1.07亿
218,603618,杭电股份,22.76,5.27%,8.43%,7.31亿,5.70亿,1.62亿,13.01亿
219,603139,康惠股份,31.13,5.24%,6.29%,9920.56万,9265.73万,654.83万,1.92亿
220,300921,南凌科技,26.9,5.24%,7.25%,1.38亿,8071.00万,5716.74万,2.19亿
221,603488,展鹏科技,11.47,5.23%,4.32%,7668.62万,6626.13万,1042.49万,1.43亿
222,2575,群兴玩具,6.85,5.22%,12.70%,3.04亿,1.99亿,1.05亿,5.03亿
223,688229,博睿数据,93.86,5.22%,4.11%,9851.44万,6955.16万,2896.28万,1.68亿
224,2805,丰元股份,18.53,5.22%,14.83%,3.47亿,4.29亿,-8260.57万,7.76亿
225,1358,兴欣新材,27.18,5.19%,3.23%,2634.25万,1685.11万,949.15万,4319.63万
226,1367,海森药业,27.26,5.17%,5.67%,1.04亿,8132.39万,2251.13万,1.85亿
227,688507,索辰科技,91.92,5.14%,3.95%,1.01亿,7637.57万,2462.28万,1.77亿
228,2192,融捷股份,79.15,5.14%,10.95%,13.21亿,9.18亿,4.02亿,22.39亿
229,2334,英威腾,9.01,5.13%,5.68%,2.23亿,1.46亿,7700.30万,3.69亿
230,301295,美硕科技,40.26,5.12%,8.87%,5281.32万,5033.53万,247.79万,1.03亿
231,300058,蓝色光标,17.27,5.11%,12.80%,40.94亿,36.13亿,4.81亿,77.07亿
232,301419,阿莱德,46.76,5.08%,7.59%,1.57亿,1.18亿,3810.31万,2.75亿
233,600259,中稀有色,96.76,5.08%,3.54%,6.12亿,5.13亿,9866.46万,11.25亿
234,300454,深信服,112.2,5.07%,3.66%,6.85亿,4.82亿,2.03亿,11.68亿
235,2762,*ST金比,7.88,5.07%,4.21%,2491.49万,4476.32万,-1984.82万,6968.04万
236,688301,奕瑞科技,111.99,5.06%,0.92%,1.28亿,8705.18万,4099.52万,2.15亿
237,300571,平治信息,36.6,5.05%,14.22%,3.12亿,2.82亿,3016.06万,5.94亿
238,609,ST中迪,9.77,5.05%,1.04%,1228.23万,1718.14万,-489.91万,2946.57万
239,603268,*ST松发,121.22,5.00%,1.73%,2.45亿,2.40亿,474.68万,4.84亿
240,300713,英可瑞,17.06,4.98%,3.81%,3309.32万,2364.96万,944.37万,5675.31万
241,600482,中国动力,38.75,4.96%,1.46%,7.33亿,5.33亿,2.00亿,12.66亿
242,603496,恒为科技,30.29,4.95%,3.73%,2.28亿,1.27亿,1.02亿,3.55亿
243,300679,电连技术,43.0,4.95%,5.15%,4.48亿,3.28亿,1.20亿,7.77亿
244,300517,海波重科,12.08,4.95%,3.32%,3054.97万,1895.76万,1159.21万,4951.21万
245,605081,*ST太和,7.23,4.93%,0.88%,0.00,715.41万,-715.41万,715.99万
246,301313,凡拓数创,32.87,4.92%,3.69%,4867.66万,4089.12万,778.54万,8957.45万
247,4,*ST国华,3.64,4.90%,0.52%,0.00,238.46万,-238.46万,240.82万
248,300052,中青宝,13.7,4.90%,16.97%,3.38亿,2.68亿,7022.83万,6.07亿
249,700,模塑科技,12.02,4.89%,4.79%,3.07亿,2.19亿,8841.34万,5.26亿
250,600397,江钨装备,14.82,4.88%,3.86%,3.15亿,2.41亿,7431.12万,5.57亿
251,688135,利扬芯片,35.72,4.87%,8.77%,3.97亿,3.29亿,6729.96万,7.26亿
252,600284,浦东建设,7.15,4.84%,1.72%,7186.54万,4438.25万,2748.29万,1.16亿
253,2333,罗普斯金,6.09,4.82%,4.53%,1.07亿,7410.65万,3280.09万,1.81亿
254,600433,冠豪高新,3.7,4.82%,3.65%,1.31亿,1.07亿,2377.11万,2.38亿
255,301061,匠心家居,74.01,4.80%,0.85%,5156.24万,3847.35万,1308.88万,9004.32万
256,605090,九丰能源,41.71,4.80%,3.03%,4.80亿,3.91亿,8937.95万,8.71亿
257,300531,优博讯,20.08,4.80%,5.64%,2.03亿,1.43亿,6042.78万,3.46亿
258,688802,沐曦股份,712.44,4.79%,18.70%,12.76亿,11.13亿,1.63亿,23.89亿
259,688003,天准科技,72.51,4.78%,2.20%,1.54亿,1.59亿,-489.22万,3.14亿
260,301139,元道通信,18.89,4.77%,11.43%,9457.88万,6786.92万,2670.96万,1.62亿
261,688356,键凯科技,108.8,4.77%,1.90%,7452.00万,4886.90万,2565.10万,1.23亿
262,688678,福立旺,27.59,4.75%,5.55%,2.54亿,1.85亿,6831.78万,4.39亿
263,301428,世纪恒通,35.33,4.74%,8.65%,1.13亿,7033.22万,4307.87万,1.84亿
264,603300,海南华铁,7.09,4.73%,3.99%,3.92亿,1.65亿,2.27亿,5.57亿
265,688200,华峰测控,299.5,4.72%,1.18%,2.63亿,2.03亿,6064.70万,4.66亿
266,300609,汇纳科技,37.95,4.72%,3.98%,1.13亿,6541.60万,4766.55万,1.79亿
267,603171,税友股份,56.2,4.71%,2.35%,2.79亿,2.55亿,2466.40万,5.34亿
268,688516,奥特维,78.66,4.71%,3.55%,5.26亿,3.25亿,2.02亿,8.51亿
269,688257,新锐股份,78.13,4.69%,2.67%,3.02亿,2.19亿,8295.23万,5.21亿
270,300751,迈为股份,233.62,4.68%,5.49%,13.81亿,10.40亿,3.42亿,24.21亿
271,300467,迅游科技,32.01,4.68%,2.77%,6716.13万,5355.83万,1360.30万,1.47亿
272,2042,华孚时尚,4.93,4.67%,5.45%,2.77亿,1.76亿,1.02亿,4.53亿
273,573,粤宏远A,4.93,4.67%,3.66%,6431.48万,4717.01万,1714.47万,1.12亿
274,603285,键邦股份,36.26,4.65%,11.75%,1.42亿,1.17亿,2490.96万,2.59亿
275,600719,大连热电,6.97,4.65%,2.40%,4208.40万,2405.57万,1802.82万,6614.04万
276,605336,帅丰电器,14.89,4.64%,1.39%,2070.84万,1578.46万,492.38万,3650.19万
277,2235,安妮股份,9.72,4.63%,9.30%,3.00亿,2.00亿,1.01亿,5.00亿
278,603067,振华股份,37.35,4.62%,3.54%,4.98亿,4.33亿,6521.00万,9.31亿
279,2838,道恩股份,28.1,4.62%,1.39%,9501.02万,6810.78万,2690.24万,1.63亿
